time_s,phase,tank_pressure_Pa,core_power_W,decay_heat_W,main_mdot_kg_s,shaft_rpm,chamber_pressure_Pa,thrust_proxy_N,xenon_inventory,ledinegg_margin,ledinegg_status
0.0,startup_ramp,1.350E+06,0.000E+00,0.000E+00,0.000,450.0,2.000E+05,0.000E+00,0.000,1.000,nominal
12.0,startup_ramp,1.333E+06,1.000E+06,2.000E+05,1.200,1450.0,4.200E+05,4.500E+03,0.005,0.860,nominal
25.0,startup_ramp,1.310E+06,6.000E+07,1.100E+06,4.600,3120.0,2.440E+06,3.180E+04,0.020,0.720,nominal
45.0,startup_ramp,1.285E+06,1.850E+08,6.500E+06,6.900,4420.0,4.120E+06,1.280E+05,0.060,0.700,nominal
90.0,rated_burn,1.240E+06,3.500E+08,1.800E+07,8.000,5200.0,5.000E+06,2.120E+05,0.120,0.780,nominal
210.0,shutdown_soak,1.100E+06,3.500E+08,1.800E+07,8.000,5200.0,5.000E+06,2.120E+05,0.450,0.710,nominal
320.0,shutdown_soak,1.075E+06,2.500E+07,1.000E+07,1.500,900.0,6.500E+05,6.000E+03,0.740,0.760,recovering
520.0,restart_ramp,1.050E+06,1.500E+07,4.000E+06,0.000,450.0,2.000E+05,0.000E+00,0.880,0.840,reset
560.0,restart_ramp,1.025E+06,1.220E+08,6.800E+06,5.720,3610.0,2.720E+06,3.850E+04,0.690,0.690,watch
650.0,cooldown,9.700E+05,2.500E+08,1.200E+07,6.450,4800.0,4.200E+06,1.960E+05,0.580,0.660,watch
760.0,cooldown,9.500E+05,2.500E+08,9.000E+06,6.300,4550.0,4.050E+06,1.820E+05,0.460,0.720,watch
900.0,cooldown,9.200E+05,5.000E+07,2.500E+06,0.000,450.0,2.150E+05,0.000E+00,0.350,0.890,nominal
